"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","Tsoil avg-10cm  (F)","Tsoil min(avg)-10cm  (F)","Tsoil max(avg)-10cm  (F)","2m DewPt avg (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","BP avg (mb)","N (# obs)"
"Live Oak","13 Mar 2023","62.72","57.09","68.9","67.81","65.88","71.26","57.34","85","0.57","0.12","149.88","1007","95"
"Live Oak","14 Mar 2023","53.1","44.33","61.74","63.1","57.78","68.59","35.07","54","0","0","241.37","1014","96"
"Live Oak","15 Mar 2023","49.76","41.4","62.58","60.91","54.54","68.79","31.22","52","0","0","238.4","1018","96"
"Live Oak","16 Mar 2023","55.43","37.96","72.57","61.77","53.37","71.38","39.14","65","0","0","250.73","1017","96"
"Live Oak","17 Mar 2023","64.66","50.04","77.11","65.68","58.98","72.7","54.93","74","0","0","185.29","1010","96"
"Live Oak","18 Mar 2023","58.28","46.19","71.46","66.12","60.33","69.87","55.29","90","1.03","0.16","32.23","1009","96"
"Live Oak","19 Mar 2023","49.71","43.07","56.35","59.35","55.31","63.59","35.83","62","0","0","211.57","1016","96"
"Live Oak","20 Mar 2023","46.59","35.3","57.7","57.32","50.99","64.18","29.19","55","0","0","257.14","1020","96"
"Live Oak","21 Mar 2023","53.15","35.83","68.29","58.05","50.47","66.79","43.34","72","0","0","199.38","1021","96"
"Live Oak","22 Mar 2023","66.19","55.63","80.85","66.44","60.33","76.17","55.6","73","0","0","229.2","1020","96"
"Live Oak","23 Mar 2023","70","57.13","83.05","70.74","63.54","79.68","57.69","69","0","0","245.31","1018","96"
"Live Oak","24 Mar 2023","69.73","59.32","81.63","72.89","66.07","80.53","59.99","75","0","0","234","1013","96"
"Live Oak","25 Mar 2023","72.65","63.73","81.72","73.82","70.34","78.89","68.08","86","0.04","0.03","151.29","1010","96"
"Live Oak","26 Mar 2023","74.81","69.87","82.81","75.95","72.5","80.96","68.75","82","0","0","148","1011","96"
"Live Oak","27 Mar 2023","74.33","68.52","82.56","76.98","72.41","82.76","67.33","80","0","0","185.1","1012","96"
"Live Oak","28 Mar 2023","70.13","63.99","80.29","76","73.06","80.42","66.99","90","0.62","0.27","103.28","1012","96"
"Live Oak","29 Mar 2023","63.95","55.33","72.07","71.27","67.03","75.81","54.33","73","0","0","240.73","1014","96"
"Live Oak","30 Mar 2023","63.03","48.83","76.53","69.28","62.49","76.96","50.44","68","0","0","263.7","1018","96"
"Live Oak","31 Mar 2023","68.59","54.23","82.85","71.75","64.18","80.62","57.33","72","0","0","233.7","1017","96"
"Live Oak","1 Apr 2023","72.62","64.44","81.34","74.18","69.4","79.16","65.2","79","0.01","0.01","150.27","1013","96"
"Live Oak","2 Apr 2023","72.39","64","81.18","76.27","71.22","82.67","56.9","64","0","0","213.83","1012","96"
"Live Oak","3 Apr 2023","67.53","57.83","81.19","74.05","69.91","77.7","56.04","72","0","0","120.17","1011","96"
"Live Oak","4 Apr 2023","72.12","60.49","85.5","75.09","69.64","82.83","64.74","82","0","0","168.16","1012","96"
"Live Oak","5 Apr 2023","77.14","65.8","88.39","78.83","73.13","85.32","65.7","73","0","0","184.24","1014","96"
"Live Oak","6 Apr 2023","76.78","67.62","87.21","80.76","74.84","86.85","65.67","72","0","0","190.6","1016","96"
"Live Oak","7 Apr 2023","74.99","67.01","86.2","80.86","75.65","87.1","66.69","78","0.01","0.01","166.22","1014","96"
"Live Oak","8 Apr 2023","70.11","59.97","77.43","77.88","74.53","81.12","66.75","90","0.84","0.55","88.15","1013","96"
"Live Oak","9 Apr 2023","53.37","47.55","59.67","67.63","64.69","74.32","51.43","93","0.07","0.04","68.64","1015","96"
"Live Oak","10 Apr 2023","59.67","55","65.95","64.69","61.59","68.36","51.37","74","0","0","123.05","1018","96"
"Live Oak","11 Apr 2023","62","55.83","69.76","65.9","61.16","71.1","55.7","80","0.17","0.06","174.73","1018","96"
"Live Oak","12 Apr 2023","66.12","57.61","73.96","66.79","62.26","71.22","55.26","70","0","0","171.01","1013","96"
"Live Oak","13 Apr 2023","71.72","65.77","80.28","70.72","66.38","77.16","62.57","75","0.02","0.02","193.42","1007","96"
"Live Oak","14 Apr 2023","70.51","61.18","80.33","73.41","67.41","81.16","59.82","74","0","0","202.19","1008","96"
"Live Oak","15 Apr 2023","71.62","55.71","85.03","75.68","67.57","84.88","60.86","73","0.17","0.14","232.24","1011","96"
"Live Oak","16 Apr 2023","71.25","63.7","82.4","76.37","71.82","81.25","64.91","82","0.07","0.04","206.21","1009","96"
"Live Oak","17 Apr 2023","66.18","57.25","72.97","75.24","69.39","81.93","45.28","51","0","0","268.41","1009","96"
"Live Oak","18 Apr 2023","64.02","45.18","79.75","73.24","64.49","82.27","41.03","54","0.06","0.03","269.95","1011","94"
"Live Oak","19 Apr 2023","67.22","51.28","82.08","73.94","67.33","81.12","48.04","58","0","0","211.65","1014","96"
"Live Oak","20 Apr 2023","69.35","53.17","82.99","75.57","67.77","84.04","53.08","63","0","0","264.63","1015","96"
"Live Oak","21 Apr 2023","69.13","54.09","83.48","76.65","69.28","84.2","54.75","66","0","0","237.11","1010","96"
"Live Oak","22 Apr 2023","72.19","60.87","82.99","78.74","72.7","84.67","60.02","68","0","0","207.42","1005","96"
"Live Oak","23 Apr 2023","68.98","55.72","80.73","78.03","70.97","85.17","44.63","44","0","0","270.05","1009","96"
"Live Oak","24 Apr 2023","64.01","59.41","69.93","74.89","72.05","79.93","57.86","81","0.03","0.02","86.14","1010","96"
"Live Oak","25 Apr 2023","68.84","60.64","80.44","74.03","68.18","80.96","60.95","77","0.01","0.01","189.26","1009","96"
"Live Oak","26 Apr 2023","71.16","62.62","85.89","77.4","71.37","85.21","63.31","79","0.11","0.07","208.01","1009","96"
"Live Oak","27 Apr 2023","69.97","64.24","80.89","75.23","71.85","78.49","67.61","93","0.75","0.19","114.06","1007","96"
"Live Oak","28 Apr 2023","71.82","61.77","82.67","73.69","69.24","78.73","66.92","85","0.01","0.01","201.49","1004","96"
"Live Oak","29 Apr 2023","72.55","66","81.99","75.55","72.77","79.9","68.35","88","0.3","0.1","131.67","1003","96"
"Live Oak","30 Apr 2023","69.46","65.57","75.54","72.53","70.3","75.02","61.15","76","0.41","0.09","224.68","998","96"
"Live Oak","1 May 2023","69.19","55.63","79.07","71.65","65.16","79.05","58.57","71","0","0","258","1003","96"
"Live Oak","2 May 2023","69.22","59.34","79.92","74.79","67.62","83.32","50.82","57","0","0","275.79","1005","96"
"Live Oak","3 May 2023","67.86","57.96","78.08","75.6","68.02","83.57","46.53","51","0","0","283.92","1005","96"
"Live Oak","4 May 2023","67.2","53.42","80.22","76.65","68.02","85.96","47.97","59","0","0","274.7","1009","96"
"Live Oak","5 May 2023","69.39","54.21","81.25","77.27","70.65","83.57","53.13","62","0","0","199.74","1012","96"
"Live Oak","6 May 2023","71.42","66.16","78.1","79.17","74.46","84.97","63.82","77","0","0","186.12","1015","96"
"Live Oak","7 May 2023","71.85","60.67","83.52","79.62","72.68","86.85","60.89","72","0","0","225.17","1015","96"
"Live Oak","8 May 2023","73.89","62.92","83.39","81.07","74.41","87.67","62.75","69","0","0","222.58","1012","96"
"Live Oak","9 May 2023","76.05","68.36","86.16","82.53","77.23","88.79","67.9","78","0","0","189.49","1011","96"
"Live Oak","10 May 2023","77.65","69.64","91.06","85.06","78.22","93.58","68.12","76","0.14","0.1","248.66","1011","96"
"Live Oak","11 May 2023","75.47","68","87.06","82.71","78.1","88.25","69.7","84","0.78","0.19","174.18","1013","96"
"Live Oak","12 May 2023","74.3","67.3","88.63","80.19","75.06","87.03","68.67","85","0.87","0.2","237.41","1014","96"
"Live Oak","13 May 2023","73.6","63.75","84.06","79.52","73.96","85.5","67.05","82","0.02","0.01","236.05","1014","96"
"Live Oak","14 May 2023","77.55","67.23","88.7","82.43","75.51","90.84","69.15","78","0","0","229.52","1013","96"
"Live Oak","15 May 2023","76.48","70.97","85.46","84.51","78.55","91.69","69.7","81","0","0","201.55","1014","96"
"Live Oak","16 May 2023","75.83","67.28","85.24","83.69","77.76","90.86","69.75","83","0.11","0.09","195.13","1010","96"
"Live Oak","17 May 2023","74.11","68.32","83.62","80.73","77.23","84.15","69.88","87","0","0","138.61","1005","96"
"Live Oak","18 May 2023","72.01","65.46","82.9","79.17","74.62","84.22","68.8","91","0.1","0.05","125.27","1007","96"
"Live Oak","19 May 2023","73.52","67.84","83.8","79.77","74.95","87.94","69.28","87","0.01","0.01","184.1","1011","96"
"Live Oak","20 May 2023","75.44","66.29","85.75","83.23","75.69","91.99","67.6","79","0","0","222.62","1011","96"
"Live Oak","21 May 2023","77.44","67.77","88.54","85.7","78.78","93.18","69.8","80","0","0","198.62","1008","96"
"Live Oak","22 May 2023","72.49","68.36","82.33","83.16","79.12","86.77","70.04","92","0.05","0.02","100.17","1008","96"
"Live Oak","23 May 2023","72.74","68.09","80.56","79.18","76.24","84.02","69.87","91","0.56","0.22","144.73","1009","96"
"Live Oak","24 May 2023","71.44","67.64","78.39","77.01","74.25","80.28","66.93","87","0.27","0.04","134.06","1007","96"
"Live Oak","25 May 2023","72.14","63.32","81.54","77","71.01","84.45","60.85","70","0","0","261.02","1005","96"
"Live Oak","26 May 2023","70.18","65.41","74.62","76.56","73.8","79.72","62.35","76","0","0","116.7","1008","96"
"Live Oak","27 May 2023","66.86","57.18","77.45","77.24","69.08","86.43","54.48","65","0","0","270.54","1009","96"
"Live Oak","28 May 2023","66.53","54.66","78.8","79.26","70.84","88.29","57.34","74","0","0","280.55","1009","96"
"Live Oak","29 May 2023","73.55","61.12","84.83","81.75","74.07","89.44","61.63","71","0","0","245.39","1007","96"
"Live Oak","30 May 2023","76.3","64.53","86.45","84.21","76.96","91.22","63.72","70","0","0","238.56","1007","96"
"Live Oak","31 May 2023","73.29","68.97","82.42","83.08","79.88","87.58","67.97","84","0.13","0.06","135.07","1008","96"
"Live Oak","1 Jun 2023","74.09","69.8","81.34","80.08","76.08","85.51","68.49","83","0.01","0.01","181.92","1007","96"
"Live Oak","2 Jun 2023","74.39","64.11","83.95","81.57","74.21","89.58","64.79","74","0","0","243.36","1005","96"
"Live Oak","3 Jun 2023","75.38","65.48","85.28","83.6","77.23","90.27","65.75","74","0","0","218.05","1002","96"
"Live Oak","4 Jun 2023","72.3","68.2","81.37","81.95","77.94","86.4","68.34","88","0.17","0.09","132.16","1003","96"
"Live Oak","5 Jun 2023","73.43","64.78","83.73","79.87","72.75","89.02","64.66","76","0","0","255.62","1008","96"
"Live Oak","6 Jun 2023","75.41","62.47","89.26","83.34","74.97","92.97","62.89","70","0","0","252.96","1008","96"
"Live Oak","7 Jun 2023","76.07","67.17","85.39","83.71","78.82","90.03","67.1","76","0.15","0.09","206.38","1004","96"
"Live Oak","8 Jun 2023","77.91","69.22","88.11","82.86","76.06","90.68","69.5","77","0","0","233.1","1002","96"
"Live Oak","9 Jun 2023","76.52","70.3","88.5","83.71","79.27","90.09","71.1","85","0.1","0.05","164.92","1003","96"
"Live Oak","10 Jun 2023","75.31","67.41","85.12","81.63","76.03","87.12","70.23","85","0","0","181.47","1006","96"
"Live Oak","11 Jun 2023","79.14","70.12","88.66","85.43","78.13","93.94","70.4","77","0","0","249.4","1006","96"
"Live Oak","12 Jun 2023","77.9","71.55","88.09","84","80.8","88.02","72.47","84","0.06","0.02","157.06","1006","96"
"Live Oak","13 Jun 2023","81.3","75.11","91.71","86.32","79.93","94.37","73.02","78","0","0","224.27","1007","96"
"Live Oak","14 Jun 2023","79.27","67.23","89.26","86.45","81.75","91.15","72.44","81","0.82","0.29","168.99","1007","96"
"Live Oak","15 Jun 2023","69.56","65.44","81.19","77.32","73.04","83.41","68","95","2.07","0.37","57.57","1007","96"
"Live Oak","16 Jun 2023","75.95","68.41","84.97","76.35","72.52","81.05","70.63","84","0.31","0.29","187.04","1006","96"
"Live Oak","17 Jun 2023","76.89","70","88.03","79.14","74.44","86.45","70.63","82","0.66","0.26","215.32","1007","96"
"Live Oak","18 Jun 2023","77.87","68.77","89.67","81.67","75.47","89.53","71.25","82","0.01","0.01","255.61","1006","96"
"Live Oak","19 Jun 2023","75.7","69.26","82.49","80.43","77.58","83.01","72.03","89","0.13","0.11","127.49","1007","96"
"Live Oak","20 Jun 2023","77.58","70.29","88.03","80.18","75.6","86.02","72.18","84","0.36","0.24","215.18","1005","96"
"Live Oak","21 Jun 2023","72.51","67.77","78.12","76.51","73.31","80.73","70.41","94","3.66","0.81","73.6","1005","96"
"Live Oak","22 Jun 2023","72.21","67.98","78.71","74.13","71.64","77.18","69.94","92","1.58","0.15","114.78","1007","96"
"Live Oak","23 Jun 2023","75.92","70.39","84.94","76.92","73.13","81.75","72.72","90","0.88","0.27","180.51","1009","96"
"Live Oak","24 Jun 2023","77.58","73.67","85.48","79.1","75","83.3","74.31","90","0.38","0.32","189.12","1010","96"
"Live Oak","25 Jun 2023","81.07","70.23","91.8","81.38","74.89","88.43","70.41","74","0","0","269.34","1009","96"
"Live Oak","26 Jun 2023","81.76","73.94","91.35","84.13","78.67","91.26","72.27","75","0","0","226.79","1008","96"
"Live Oak","27 Jun 2023","81.76","73.65","93.27","86.72","80.89","95.04","75.82","83","0.38","0.31","235.95","1007","96"
"Live Oak","28 Jun 2023","84.4","78.17","92.53","87.15","82.62","92.68","74.37","76","0","0","257.93","1007","96"
"Live Oak","29 Jun 2023","83.1","70.38","93.67","88.38","80.28","97.56","69.66","69","0","0","275.75","1009","96"
"Live Oak","30 Jun 2023","82.54","71.2","92.34","91.01","83.12","99.19","70.93","72","0","0","267.31","1010","96"
"Live Oak","1 Jul 2023","83.08","71.24","94.19","92.2","84.88","99.68","72.1","73","0","0","256.01","1010","96"
"Live Oak","2 Jul 2023","84.3","75.51","96.76","93.53","86.92","100.74","73.99","73","0.56","0.34","240.28","1010","96"
"Live Oak","3 Jul 2023","82.69","72.23","93.96","90","84.49","95.11","73.85","77","0.2","0.14","277.21","1010","96"
"Live Oak","4 Jul 2023","83.64","76.17","94.23","89.93","83.59","97.81","74.91","76","0","0","253.17","1012","96"
"Live Oak","5 Jul 2023","83.25","73.98","93.36","91.96","85.03","100.04","74.58","77","0","0","252.26","1012","96"
"Live Oak","6 Jul 2023","83.99","75.99","93.36","93.18","86.92","100.09","75.46","77","0","0","245.13","1009","96"
"Live Oak","7 Jul 2023","80.71","72.99","92.97","92.6","88.11","99.59","74.35","82","0.07","0.05","198.65","1008","96"
"Live Oak","8 Jul 2023","80.9","74.68","90.86","89.29","83.07","96.44","74.98","83","0","0","244.41","1007","96"
"Live Oak","9 Jul 2023","80.31","75","88.7","87.81","84.97","91.38","75.21","85","0.8","0.43","199.71","1008","96"
"Live Oak","10 Jul 2023","79.13","74.73","84.83","83.11","81.61","84.9","76.36","91","0.17","0.08","109.63","1008","96"
"Live Oak","11 Jul 2023","81.59","74.98","91.31","84.34","79.61","90.23","75.65","83","0","0","235.83","1010","96"
"Live Oak","12 Jul 2023","82.33","76.03","91.71","86.84","81.32","93.24","76.26","83","0","0","219.64","1011","96"
"Live Oak","13 Jul 2023","80.04","74.93","91.11","88.41","82.63","97.48","74.84","85","0.16","0.12","246.89","1010","96"
"Live Oak","14 Jul 2023","79.29","73.74","86.16","85.2","81.68","88.39","75.8","89","0.05","0.03","172.46","1009","96"
"Live Oak","15 Jul 2023","79.17","74.61","85.41","84.8","80.71","89.87","75.81","89","0.06","0.03","193.7","1009","96"
"Live Oak","16 Jul 2023","79.44","75","88.41","84.78","81.57","90.32","76.86","92","0.1","0.02","155.99","1010","96"
"Live Oak","17 Jul 2023","80.22","75.52","90.88","85.22","81","92.14","76.63","89","0.12","0.09","203.14","1010","96"
"Live Oak","18 Jul 2023","82.95","74.55","92.86","86.15","80.56","92.89","74.17","78","0.01","0.01","241.99","1012","96"
"Live Oak","19 Jul 2023","84.04","75.94","93.58","89.58","82.29","98.2","75.47","78","0","0","264.43","1014","96"
"Live Oak","20 Jul 2023","84.2","73.98","93.79","92.21","84.96","100","74.53","75","0","0","268.32","1013","96"
"Live Oak","21 Jul 2023","84.84","76.55","94.24","93.64","87.19","100.65","75.73","76","0","0","271.22","1009","96"
"Live Oak","22 Jul 2023","79.35","72.07","92.3","91.33","85.69","97.09","73.62","84","0.78","0.34","185.49","1008","96"
"Live Oak","23 Jul 2023","75.91","72.37","85.93","83.46","81.52","85.87","74.43","95","1.01","0.24","109.37","1010","96"
"Live Oak","24 Jul 2023","80.21","74.32","89.13","83.49","79.45","89.04","75.01","85","0.06","0.02","237.05","1013","96"
"Live Oak","25 Jul 2023","81.4","74.12","90.41","86.3","80.42","93.27","73.85","80","0","0","240.29","1014","96"
"Live Oak","26 Jul 2023","82.14","70.83","93.34","88.83","81.66","97.18","72.27","75","0","0","261.46","1013","96"
"Live Oak","27 Jul 2023","81.86","73.89","91.26","90.68","84.61","97.14","74.38","80","0","0","230.69","1013","96"
"Live Oak","28 Jul 2023","79.24","76.57","85.69","88.92","86.34","91.98","75.52","89","0","0","133.14","1013","96"
"Live Oak","29 Jul 2023","79.61","73.98","90.72","87.51","83.39","92.73","75.16","87","0.31","0.22","220.67","1013","96"
"Live Oak","30 Jul 2023","81.09","73.24","94.64","86.09","81.63","92.55","75.68","85","0.23","0.13","207.45","1010","96"
"Live Oak","31 Jul 2023","79","72.43","90.64","84.88","80.22","90.99","74.41","87","0.12","0.08","228.28","1010","96"
"Live Oak","1 Aug 2023","82.03","74.25","94.12","86.84","80.58","94.91","74.71","81","0.01","0.01","266.08","1010","96"
"Live Oak","2 Aug 2023","80.16","71.71","91.49","88.59","82","95.99","73.49","81","0","0","244.39","1012","96"
"Live Oak","3 Aug 2023","82.54","73.38","92.66","90.35","83.44","97.93","72.29","74","0","0","255.84","1012","96"
"Live Oak","4 Aug 2023","79.83","74.71","88.41","89.29","86.38","92.98","75.14","86","0.05","0.04","145.28","1009","96"
"Live Oak","5 Aug 2023","78.67","74.07","84.72","86.83","83.08","90.68","74.1","86","0","0","145.3","1009","96"
"Live Oak","6 Aug 2023","82.72","75.27","95.23","89.57","83.21","97.92","75.58","80","0","0","242.13","1010","96"
"Live Oak","7 Aug 2023","84.53","74.34","94.41","92.16","86.04","98.87","76","76","0","0","251.92","1011","96"
"Live Oak","8 Aug 2023","85.35","78.69","94.24","93.06","87.69","99","77.03","77","0","0","248.07","1011","96"
"Live Oak","9 Aug 2023","84.29","73.85","94.51","93.57","87.58","100.08","76.04","78","0","0","252.43","1009","96"
"Live Oak","10 Aug 2023","83.22","76.24","90.37","91.52","88.11","95.65","78.47","86","0.21","0.14","177.24","1008","96"
"Live Oak","11 Aug 2023","84.2","77.77","93.11","88.43","83.8","94.82","78.4","84","0.27","0.12","220.95","1009","96"
"Live Oak","12 Aug 2023","85.59","78.46","95.29","89.34","84.16","96.01","76.4","77","0","0","261.1","1010","96"
"Live Oak","13 Aug 2023","86.72","77.99","97.5","91.97","85.51","99.36","77.26","76","0","0","219.27","1010","96"
"Live Oak","14 Aug 2023","82.77","76.1","96.58","92.61","87.31","100.27","76.2","83","0.13","0.02","185.75","1011","96"
"Live Oak","15 Aug 2023","78.05","74.19","90.01","86.87","83.89","91.04","75.39","92","0.19","0.03","122.69","1010","96"
"Live Oak","16 Aug 2023","77.02","72.23","89.35","83.58","81.01","87.94","74.87","93","0.82","0.33","143.43","1008","96"
"Live Oak","17 Aug 2023","78.44","73.04","88.03","82.62","79.16","87.31","75.51","91","0.77","0.68","166.44","1008","96"
"Live Oak","18 Aug 2023","82.19","74.37","92.44","84.84","79.07","91.99","74.5","80","0","0","259.23","1009","96"
"Live Oak","19 Aug 2023","84.05","73.83","94.64","87.91","81.3","95.9","74.07","76","0","0","242.17","1009","96"
"Live Oak","20 Aug 2023","81.21","74.73","89.01","87.89","83.39","91.67","75.41","83","0.15","0.15","203.78","1012","96"
"Live Oak","21 Aug 2023","83.02","75.11","93.43","87.35","81.41","94.75","75.48","81","0","0","227.77","1013","96"
"Live Oak","22 Aug 2023","83.5","73.29","93.9","89.68","82.96","97.2","74.92","78","0","0","221.74","1010","96"
"Live Oak","23 Aug 2023","83.15","75.4","93.33","91.34","85.68","97.23","75.17","79","0","0","204","1009","96"
"Live Oak","24 Aug 2023","81.38","71.49","91.04","90.14","84.22","95.76","73.35","78","0","0","206.17","1010","96"
"Live Oak","25 Aug 2023","81.33","71.58","94.78","91.33","84.7","99.27","72.92","79","0.14","0.1","248.12","1009","96"
"Live Oak","26 Aug 2023","82.15","73.45","92.79","90.34","84.16","97.29","75.17","81","0.02","0.01","245.63","1006","96"
"Live Oak","27 Aug 2023","83.63","74.17","93.24","91.96","84.92","99.9","73.32","74","0","0","259.47","1004","96"
"Live Oak","28 Aug 2023","80.23","74.64","93.2","90.87","86.77","97.36","75.31","86","0.51","0.15","169.58","1004","96"
"Live Oak","29 Aug 2023","80.96","74.89","91.56","86.65","82.92","90.95","76.45","87","2.12","0.99","186.91","1004","96"
"Live Oak","30 Aug 2023","76.9","74.17","82.2","81.12","79.52","85.03","74.43","93","1.97","0.16","59.79","994","96"
"Live Oak","31 Aug 2023","80.28","71.38","90.03","81.97","76.71","87.96","73.73","82","0.04","0.04","201.25","1005","96"
"Live Oak","1 Sep 2023","78.48","74.52","86.14","83.39","80.31","87.3","75.43","90","0.1","0.03","132","1012","96"
"Live Oak","2 Sep 2023","78.29","73.18","86.2","82.56","78.3","88.39","72.63","83","0","0","165.27","1014","96"
"Live Oak","3 Sep 2023","79.04","70.83","88.93","84.92","78.58","92.75","71.21","79","0","0","217.78","1012","96"
"Live Oak","4 Sep 2023","78.57","68.58","88.99","87.05","79.68","95.41","68.2","75","0","0","259.21","1011","96"
"Live Oak","5 Sep 2023","77.86","66.43","88.93","87.61","80.96","94.89","68.21","77","0.02","0.02","234.24","1011","96"
"Live Oak","6 Sep 2023","80","68.49","92.39","88.45","81.52","96.19","68.93","74","0","0","246.82","1010","96"
"Live Oak","7 Sep 2023","81.42","71.58","92.39","89.36","83.61","95.43","71.42","75","0","0","196.81","1007","96"
"Live Oak","8 Sep 2023","76.44","67.03","85.57","86.35","82.62","90.64","69.36","80","0.1","0.03","144.71","1008","96"
"Live Oak","9 Sep 2023","77.19","70.39","84.97","83.54","79.92","87.39","71.04","83","0.21","0.12","195.6","1008","96"
"Live Oak","10 Sep 2023","79.3","70.2","88.21","84.23","78.15","91.08","72.27","82","0","0","205.13","1010","96"
"Live Oak","11 Sep 2023","79.98","71.94","91.85","87.37","80.8","95.25","72.65","81","0","0","212.21","1011","96"
"Live Oak","12 Sep 2023","76.49","68.11","91.74","87.69","81.5","95.92","70.59","85","0.04","0.01","197.63","1010","96"
"Live Oak","13 Sep 2023","78.78","69.01","89.67","86.52","80.2","93.27","71.81","82","0","0","204.23","1008","96"
"Live Oak","14 Sep 2023","80.86","71.58","91.24","88.91","82.81","95.76","71.74","76","0","0","218.73","1007","96"
"Live Oak","15 Sep 2023","76.51","69.98","86.34","89.33","83.86","95.65","71.49","85","0","0","210.97","1009","96"
"Live Oak","16 Sep 2023","78.34","72.9","85.78","87.94","84.02","91.69","70.28","76","0.06","0.03","144.88","1010","96"
"Live Oak","17 Sep 2023","77.22","71.24","88.27","85.65","81.3","90.84","73.41","89","0.51","0.16","165.45","1007","96"
"Live Oak","18 Sep 2023","76.01","68.16","85.3","82.04","77.88","86.7","64.12","72","0.01","0.01","245.2","1008","96"
"Live Oak","19 Sep 2023","73.52","61","86.22","80.36","73.31","88.75","59.69","70","0","0","241.12","1011","96"
"Live Oak","20 Sep 2023","75.73","64.78","86.95","81.61","75.11","88.16","65.67","75","0","0","180.68","1011","96"
"Live Oak","21 Sep 2023","76.49","70.11","87.22","83.38","78.35","90.66","70.45","83","0.03","0.02","201.73","1011","96"
"Live Oak","22 Sep 2023","74.47","67.35","83.25","82.58","76.73","89.96","64.01","73","0","0","222.4","1010","96"
"Live Oak","23 Sep 2023","72.21","58.95","85.91","81.99","74.79","90","59.25","70","0","0","228.6","1008","96"
"Live Oak","24 Sep 2023","75.19","62.22","88.23","83.01","76.24","90.75","62.35","71","0","0","215.27","1008","96"
"Live Oak","25 Sep 2023","74.67","62.15","87.51","82.63","77.16","87.87","67.39","81","0.02","0.01","162.52","1011","96"
"Live Oak","26 Sep 2023","74.99","71.65","84.4","80.9","78.64","84.13","72.86","93","1","0.43","79.56","1011","96"
"Live Oak","27 Sep 2023","73.68","70.93","78.73","78.25","76.89","80.26","71.77","94","0.01","0.01","72.46","1010","96"
"Live Oak","28 Sep 2023","73.15","68.4","80.71","77.59","74.44","81.72","67.36","82","0","0","144.65","1010","96"
"Live Oak","29 Sep 2023","74.55","66.33","85.05","79.37","73.85","86.63","67.56","79","0","0","195.13","1010","96"
"Live Oak","30 Sep 2023","75.07","69.19","82.89","80.23","76.15","85.15","68.63","81","0","0","136.66","1012","96"
"Live Oak","1 Oct 2023","74.02","68.49","82","80.26","75.45","86.43","66.59","78","0","0","177.5","1013","96"
"Live Oak","2 Oct 2023","73.64","65.12","84.43","80.22","74.35","87.42","65.26","77","0","0","199.91","1013","96"
"Live Oak","3 Oct 2023","73.14","63.18","83.57","80.12","74.1","86.58","65.15","78","0","0","194.15","1012","96"
"Live Oak","4 Oct 2023","75.38","66.76","84.87","81.1","76.01","86.79","67.6","78","0","0","176.57","1012","96"
"Live Oak","5 Oct 2023","75.88","67.84","86.07","81.69","77.27","87.66","68.58","79","0","0","155.5","1010","96"
"Live Oak","6 Oct 2023","73.57","68.77","80.31","81.43","78.69","84","69.5","88","0","0","99.09","1008","96"
"Live Oak","7 Oct 2023","72.63","66.81","81.19","80.6","75.81","86.76","61.49","73","0","0","187.2","1008","96"
"Live Oak","8 Oct 2023","62.1","51.44","71.2","77.32","72.61","81.84","43.6","53","0","0","187.84","1009","96"
"Live Oak","9 Oct 2023","60.32","45.79","75.9","73.51","67.6","79.75","44.58","66","0","0","188.34","1009","96"
"Live Oak","10 Oct 2023","65.36","47.84","82.71","73.55","66.85","81.16","49.5","66","0","0","195.99","1008","96"
"Live Oak","11 Oct 2023","68.56","63.39","76.59","74.69","73.02","77.27","60.72","78","0.44","0.16","43.47","1006","96"
"Live Oak","12 Oct 2023","70.1","64.83","82.47","72.59","69.87","75.76","68.64","95","2.55","0.37","84.8","999","96"
"Live Oak","13 Oct 2023","74.95","70.43","84.11","76.13","72.97","81.48","71.12","88","0.02","0.01","142.17","1003","96"
"Live Oak","14 Oct 2023","71.85","68.85","77.11","75.82","73.94","78.35","67.55","86","0","0","111.77","1004","96"
"Live Oak","15 Oct 2023","65.9","58.33","72.03","73.4","68.29","78.93","56.29","72","0","0","199.98","1003","96"
"Live Oak","16 Oct 2023","58.96","53.49","64.87","70.79","66.45","75.22","49.25","72","0","0","164.19","1007","96"
"Live Oak","17 Oct 2023","57.25","47.14","68.79","68.17","61.74","75.78","47.02","73","0","0","205.3","1012","96"
"Live Oak","18 Oct 2023","59.26","44.47","73.51","68.77","61.92","76.69","49.23","76","0","0","203.83","1015","96"
"Live Oak","19 Oct 2023","63.4","50.31","77.67","70.14","63.48","77.56","54.08","78","0","0","183.49","1013","96"
"Live Oak","20 Oct 2023","67.53","53.69","79.65","71.61","65.68","77.83","60.48","81","0","0","166.25","1005","96"
"Live Oak","21 Oct 2023","68.62","61.03","77.63","73.73","68.58","79.92","54.68","68","0","0","201.16","1006","96"
"Live Oak","22 Oct 2023","69.26","57.52","84.07","72.72","67.05","79.27","57.32","72","0","0","162.34","1009","96"
"Live Oak","23 Oct 2023","69.2","57.06","80.33","73.47","67.86","79.21","57.69","72","0","0","177.13","1013","96"
"Live Oak","24 Oct 2023","68.9","60.4","79.61","73.7","69.01","79.05","60.38","76","0","0","159.46","1017","96"
